_id,작성자,선택 옵션,별점,내용
658b8f2c999301f0be8202a0,pree*******,"옵션명 1:한우1등급,옵션명 2:한우 국거리 400g",4,두 팩중 한 팩이 조금 누름스름한게 있어서 바로 육개장 끓였는데요~ 맛은 좋네요\n그래도 한팩은 색깔도 선명하고 신선해서 만족합니다 
658b8f2c999301f0be8202a1,koll*,"옵션명 1:한우1등급,옵션명 2:한우 꽃등심 300g",5,거의 얼음덩어리 같은 얼음팩이 고기팩 수만큼 짱짱히 넣어져 있는데다 은박포장재에 이중으로 넣어  포장해 주신 덕분에 신선한 고기 배달 잘 받았습니다. 며칠 지나 소고기 구워 먹었었는데 식구들과 엄청 맛있게 잘 먹었어요~~ 좋은 상품 보내주셔서 감사하며 다음에 재주문 하겠습니다 ^^
658b8f2c999301f0be8202a2,얍얍얍얍얍얍얍,"옵션명 1:한우1등급,옵션명 2:한우 안심 300g",5,이전에 주문해서 먹었을때 너무 맛있어서 재주문했어요. 아직 먹기전인데 기대됩니다. 포장도 얼음이 덜 녹을 정도로 보냉팩에 넣고 스티로폼에 넣어와서 아주 마음에 들어요.
658b8f2c999301f0be8202a3,ㅣ깜지콩ㅣ,"옵션명 1:한우1등급,옵션명 2:한우 차돌박이 300g",5,신선하게 빠른 배송\n다음에도 재 구매 할 거 같아요\n고기도 부드럽고 다른데는 막 지방기름부분 많아서 별로였는데 \n요기는 그냥 딱 봐도 좋은 부위입니다
658b8f2c999301f0be8202a4,gida*****,"옵션명 1:한우1등급,옵션명 2:한우 채끝등심 300g",5,포장도 배송도 깔끔하고 빠르게 잘 도착했어요 \n채끝 등심 비계없어서 좋아요 
658b8f2c999301f0be8202a5,ㅣ깜지콩ㅣ,"옵션명 1:한우1등급,옵션명 2:한우 국거리 400g",5,국거리 진짜 양도 많고 가격도 착하고\n무를 이번에 큰걸 사는바람에 ㅠㅠ\n소고기 뭇국이라도 만들어 먹어야야 겠다 싶어\n사야겠거니 했는데\n고기가 진짜 질이 좋아요 
658b8f2c999301f0be8202a6,ㅣ깜지콩ㅣ,"옵션명 1:한우1등급,옵션명 2:한우 샤브샤브 400g",5,엄청 부드럽고 진짜 만족 스러웠어요\n고기가 진짜 질이 좋고\n한우인데 이렇게 저렴하게 구매할수있다니\n정말 만족스럽습니다\n포장도 깔끔하게 왔어요
658b8f2c999301f0be8202a7,sylv****,"옵션명 1:한우1등급,옵션명 2:한우 채끝등심 300g",4,"전에 먹었던 꽃등심보다 기름기도 적고 부드러워서 느끼허지 않게 잘 먹었어요. 다만, 고소한 맛은 별로 없네요. 살치살이 품절이어서 못샀는데, 다음에는 살치살에 도전해보겠습니다~"
658b8f2c999301f0be8202a8,번가대장,"옵션명 1:한우1등급,옵션명 2:한우 살치살 300g",4,등심 저렴하게 구입했습니다. 육질이 좀 질겨요
658b8f2c999301f0be8202a9,번가대장,"옵션명 1:한우1등급,옵션명 2:한우 제비추리 300g",4,살치살 저렴하게 구입했습니다. 마블링이 충분해서 식감 부드럽네요.
658b8f2c999301f0be8202aa,soin,"옵션명 1:한우1등급,옵션명 2:한우 채끝등심 300g",5,넘나 맛있어요 인터넷에서 산 곳에서 최고의 맛 굉장히 부드럽고 풍미 괜찮아요
658b8f2c999301f0be8202ab,shwl***,"옵션명 1:한우1등급,옵션명 2:한우 채끝등심 300g",5,배송빠르고 포장 꼼꼼히해서 오네요\n인터넷으로 주문한 고기중에 젤로\n맛있네요~또 구매의사 있읍니다!!\n맛있네요
658b8f2c999301f0be8202ac,jych******,"옵션명 1:한우1등급,옵션명 2:한우 꽃등심 300g",5,본가로 바로 배송했는데\n가족들이 맛있게 먹어줘서 좋았어요!\n좋은 상품 감사합니다 !
658b8f2c999301f0be8202ad,스카이민,"옵션명 1:한우1등급,옵션명 2:한우 살치살 300g",5,믿고 구매하는~ 고기상태도 좋고 잘먹었습니다
658b8f2d999301f0be8202ae,leey*********,"옵션명 1:한우1등급,옵션명 2:한우 샤브샤브 400g",5,두번째 구입이구요~\n쎄일기간에 엄청 할인받아 맛나게  먹었네요.\n또사려고  보는데 쎄일기간은 끝나군요.
658b8f2d999301f0be8202af,soin,"옵션명 1:한우1등급,옵션명 2:한우 불고기 400g",5,야들야들 육즙 맛있습니다 인터넷에서 산 한우중에 최고예요
658b8f2d999301f0be8202b0,Sweety,"옵션명 1:한우1등급,옵션명 2:한우 국거리 400g",5,국거리 1+로 왔는데 국 끓이니 넘 맛나네요 \n더사야겠어요 ㅎㅎ
658b8f2d999301f0be8202b1,딸1아들1,"옵션명 1:한우1등급,옵션명 2:한우 채끝등심 300g",4,채끝.. 아~주부드러운정도는이니었지만고소하고맛있었어요
658b8f2d999301f0be8202b2,지건,"옵션명 1:한우1등급,옵션명 2:한우 양지 400g",4,고기좋네요~~ 담에또 구매할께요.
658b8f2d999301f0be8202b3,Sweety,"옵션명 1:한우1등급,옵션명 2:한우 차돌박이 300g",4,차돌박이 그럭저럭 괜찮네요 가격도 좋고요 
658b8f2d999301f0be8202b4,chyc**,"옵션명 1:한우1등급,옵션명 2:한우 꽃등심 300g",4,차돌박이 기름이 넘 많은듯 나머지는 다 좋아요
658b8f2d999301f0be8202b5,스카이민,"옵션명 1:한우1등급,옵션명 2:한우 업진살 300g",5,믿고 구매할수 있어서 좋아요\n잘받았습니다
658b8f2d999301f0be8202b6,leey*********,"옵션명 1:한우1등급,옵션명 2:한우 안심 300g",5,고기가 부드럽고 좋네요~\n배송빠르게 도착했구요.\n다시 재구매의사 있습니다.
658b8f2d999301f0be8202b7,외상,"옵션명 1:한우1등급,옵션명 2:한우 차돌박이 300g",5,신선하고 맛있습니다 배송도 빠르고 추천합니다 
658b8f2d999301f0be8202b8,tjsa*****,"옵션명 1:한우1등급,옵션명 2:한우 안심 300g",5,부드럽고 맛있게 잘먹었습니다 ~
658b8f2d999301f0be8202b9,쫑짱2,"옵션명 1:한우1등급,옵션명 2:한우 안심 300g",5,부드럽고 맛나네요~세일할때 잘산듯합니다~^^
658b8f2d999301f0be8202ba,leey*********,"옵션명 1:한우1등급,옵션명 2:한우 불고기 400g",5,두번째 구매로 쎄일기간 좋은제품 엄청 저렴하게  산네요.
658b8f2d999301f0be8202bb,S|59*************,"옵션명 1:한우1등급,옵션명 2:한우 채끝등심 300g",5,딤백하고 부드럽고 맛있어 재구매했네요\n고기좋아요
658b8f2d999301f0be8202bc,S|59*************,"옵션명 1:한우1등급,옵션명 2:한우 안심 300g",5,품질좋아요\n가격도착하고 배송도만족스럽네요
658b8f2d999301f0be8202bd,S|59*************,"옵션명 1:한우1등급,옵션명 2:한우 채끝등심 300g",5,포장꼼꼼하고 배송빠르고 고기품질도좋네요
658b8f2d999301f0be8202be,haec**,"옵션명 1:한우1등급 부위선택,옵션명 2:업진살,옵션명 3:200g",5,신선하고 너무 맛나게 저렴하게 잘 먹었네요
658b8f2d999301f0be8202bf,viol******,"옵션명 1:한우1등급,옵션명 2:한우 업진살 300g",3,고기 마블링도 좋고 질기지 않고 맛있어요
658b8f2e999301f0be8202c0,psy7***,"옵션명 1:한우1등급,옵션명 2:한우 채끝등심 300g",5,고기는 좋아요\n스테이크용 300g 한덩어리로 판매 부탁드립니다 
658b8f2e999301f0be8202c1,ghtm****************,"옵션명 1:한우1등급,옵션명 2:한우 육회 + 소스 400g",5,냉동하고 해동 후 먹어도 좋아요~!! 
658b8f2e999301f0be8202c2,박민,"옵션명 1:한우1등급,옵션명 2:한우 업진살 300g",5,전 소고기부위중 업진살이 좋아요.
658b8f2e999301f0be8202c3,them******,"옵션명 1:한우1등급,옵션명 2:한우 꽃등심 300g",5,선물용 이었는데 포장도 꼼꼼하고 잘 먹었다고 합니다~!
658b8f2e999301f0be8202c4,dlrj****,"옵션명 1:한우1등급,옵션명 2:한우 꽃등심 300g",5,저렴한 가격에 좋은 품질 최고네요.
