_id,작성자,별점 점수,내용
658a832526947c0563265041,메뚜리언,4.5,"Hey~~~\n끝내준다!!! 스파이더맨 최고!!!\n그리고 황석희도 최고!!!\n\nNot Only, We are All Spider-Man\n3명의 스파이더맨을 거치면서 더이상의 특별한 스파이더맨은 없을 줄 알았다. 뉴유니버스는 내 생각이 틀렸다고, 우린 이렇게 새롭게 태어날 수 있다고 말하는 작품같았다. 만화책을 그대로 스크린으로 옮겨 놓은 듯한 이 작품은 굉장히 속도감있고 유쾌하며 힙하다. 스토리는 그렇게 특별하다고 볼 수 없을지도 모른다. 그런데 이 작품은 기존의 스파이더맨을 영리하게 비틀어서 얘기한다. 뻔한장면이 될뻔한 이야기를 뻔하지 않게 재밌게 표현할 줄 아는 작품이다. 이야기는 템포조절이 유려하고 각 캐릭터의 이해도가 높아 더 몰입할 수 있게 만들었다.\n영상과 사운드도 굉장히 만족도가 높았다. 만화의 특징을 잘살려 이것이 애니메이션이다, 이 장르가 아니면 할 수 없다 싶을 정도의 장면이 많다. 캐릭터의 특성을 고려한 이미지도 마음에 들었다. 간혹 스피디하고 화려한 연출때문에 살짝 혼랍스럽게 느껴지지만 이 또한 단점보다는 장점이 큰 것 같다. 사운드는 이 영화가 힙하게 느껴질 수 있게하는 가장 큰 요소이다. 시종일관 고개를 까딱거리면 보고싶게 만든다. 전체적으로 ost가 맘에 들어 꼭 한번 다시 듣고 싶었다.\n마지막으로 뭉클하게 만드는 그 이름, 그 얼굴이 나온다. 그 사람이 있었기에 이 이야기는 계속되고 마음속에 남으리라 생각한다.\n간만에 아무 생각없이 정말 즐기면서 영화를 봤다. 평이 좋다는 얘기를 들었지만 그것을 가볍게 뛰어넘는 만족도였다. 만점인 영환지는 잘모르겠지만 팬심이 많이 들어갔다. 이 영화를 아직 안보시 분이 있다면 그냥 생각없이 한껏 즐기고 나오시라 말하고 싶다.\n진짜 마지막으로 이정도 영화면 마지막설명 몇십번도 더 들을 수 있을 듯 하다.\nKeep going, Spidey"
658a832526947c0563265042,영화고독발버둥치며본다,4.5,"세상에... 마블 최고작이 이런 형태로 나올줄이야...\n.\n마블로고부터 시작해 엔딩롤에 쿠키까지!\n세련됨을 넘어 쿨함으로 무장한 인싸 파티극!!! \n.\n어벤저스3가 대장정의 마무리를 향해서 지는 태양을 뚫고 나가는 은하철도 999에 올라타있는 기분이라면,\n이번 스파이더맨 유니버스는 롯데월드 해성특급에 탄것마냥, 급발진으로 시작해  영웅신화 탄생의 기원을  요목조목 밟아나가는 와중에( 21세기 히어로의 탄생은 변주와 차용으로 이루어진다고 선언하듯) 미칠듯하게 현란한 애니메이션 효과(그래픽노블을 한번도 안 본 사람도 이건 꽤 쩐다고 말할정도)로  사람 정신을 쏙 빼놓으면서도  스탠리에 대한 리스펙정신까지 챙겨가고나서야 트랙의 끝에 도달해 제대로된 완결성을 지닌 마침표를 찍고  끝낸다!(헉헉-)\n.\n배놈때문에 떡락한 소니픽처스에 대한 신뢰도가 다시 한번 떡상하여 고점을 찍는 마법을 경험하다. \n.\n.\n.\n.\n.\nps. 마블영화 쿠키중 가장 만족스러운 쿠키(데드풀 저리가라할 정도로 가장 길고 유머러스하고 리스펙도 담겨있습니다.)입니다. 무조건 끝까지 자리에 안착하시고 보고 가시길 권합니다."
658a832526947c0563265043,김병우,5.0,"마치 입체적인 코믹북을 보는 느낌, 굉장히 신선하고 더할 나위 없이 즐겁다!"
658a832526947c0563265044,서경환,5.0,영화를 보는동안  지루하단 생각을 자체를 하지 못했다. 애니메이션으로 할 수 있는 모든 장점을 연출로 보여주었고 마일스가 새로운 스파이더맨으로 성장하는 모습을 정말 잘 보여주었다. 특히 마일스가 새로운 스파이더맨으로 각성했을때 그 모습은 감탄이 절로 나왔다. 그리고 멀티버스의 스파이더맨들 역시 적절하다. 마지막으로 펑키하고 힙한 음악들이 이 영화를 완성시켰다.\n# 스파이더맨을 좋아하신다면 꼭 추천드려요
658a832526947c0563265045,윤제아빠,4.5,아...놔...유니버스 이런거였어......????\n마블이..아니지..\n세상에나 끝내주네...\n.\n.\n#아이거극장서못본게한이네\n#이감독뭐야이거\n#그림스타일장난아닌데\n#2d와3d를절묘하게믹스했는데\n#애니에선완벽한거같아\n#스토리도개좋아ㅋㅋ\n#아이씨진짜극장서볼껄ㅜㅜ
658a832526947c0563265046,JY,5.0,이중 하나라도 속한다면 꼭 보자!\n.\n마블영화가 좋다\n스파이더맨이 좋다\n하지만 좀 지겨워질 참이었다\n코믹스가 더 좋다\n데드풀과 닥터스트레인지는 좀 볼만하더라\n마블 좀 뻔해진것같다\n마블영화 내취향 아니다\n애들영화 안본다\n나는 애다\n.\n다들 내년을 바라보고있는데\n마블 최고작이..  아니 \n2018년의 최고작이 당황스럽게\n애니에서? 뜬금없이? 연말에? 갑자기?\n+\n스탠리 후에\n크레딧 지나고 쿠키있음\n++\n애니에서도 앞으로 쭉..\n실사영화에서도 CG를 쓰던지 해서\n그를 계속 보여주면 좋겠다
658a832526947c0563265047,백수골방,4.5,대한민국의 천만 마블팬들 다 어디갔습니까 ㅠㅜ 제발 이 영화를 봐주세요
658a832526947c0563265048,idaein,4.0,진정 '만화를 찢고 나왔다'라고 표현하기 매우 적합한 소니의 스파이더맨 애니영화.
658a832526947c0563265049,이건영(everyhuman),3.5,정신없이 떠들다보니 집에 갈 시간.
658a832526947c056326504a,채호,5.0,"'힙한 느낌' 끝판왕 ㅋㅋㅋㅋㅋㅋㅋㅋ Sunflower 나올 때부터 이 영화랑 사랑에 빠졌자너 ㅋㅋㅋㅋㅋㅋㅋㅋ\n끝나고 이야기 나누는데, 진짜 코믹스 팬이면 환장하지 않을까 싶다. 아쉽게도 난 코믹스는 그 정도는 아니라서... 언젠가 더 나이먹고, 돈도 벌구 하면 좀 찾아봐야지^^\n+ '스파이더맨' 이름 걸고 나온 영화들 중에서 가장 좋다.\n+ 생각보다 되게 웃기고, 보는 내내 정말 죽도록 행복했다."
658a832526947c056326504b,뭅먼트,4.0,"- ""만화에 불만 있냐?"""
658a832526947c056326504c,seulgigomseulgi,5.0,"🕸🕷🕸🕷🕸🕷🕸🕷🕸🕷🕸🕷🕸🕷🕸🕷🕸\n이스터에그들로 가득찬, 스파이디 덕후들을 위한\n종합선물셋트 끝장판 하ㅏㅏ!!\n보고있나요..토비형님.? 당신의 댄스를 또 보게되다니!!ㅜㅜ\n오늘밤 스파이디 뽕에 취한다..!\n제 뒤에서 보신분들 죄송합니다..리듬 겁나타버렸어요..\n음악, 색감 미쳤다..힙 함이 터져버려! 눈호강 귀호강\n애니메이션 퀄리티또한👏👏👏 한 획을 그었도다..\n스파이디로 심장벌렁한게 얼마만인가ㅠㅜㅠ\n감개무량..오늘 여기서 심멎 o<---<  심정지 그자체\n.\n커크선장님, 니콜라스옹, 마이뮤즈 헤일리😍,\n최애배우  제이크존스님😃 (hey jess! 닉 밀러!)\n배우분들까지 완벽한 취향저격..크..\n.\n..스덕은 여기서 눈을감습니다..\n는 안되고\n후속 제작 시급합니다.\n일해라 소니야! 얼른 일해라!  Can't wait!!!!.\n일단은 4dx재관람 가즈아ㅏㅏㅏㅏ\n🕸🕷🕸🕷🎵🕷🕸🕷🕸🕷🕸🕷🕸🕷🕸🕷🕸"
658a832526947c056326504d,정영훈,5.0,미국 코믹북 표현 방식을 그대로 영화에 집어넣었다. 상당히 신선했다. 보는 동안 코믹북을 읽는 느낌이었다.\n마블 특유의 유머 코드가 코믹북 그림체와 만나니 더욱 재밌었다.\n다양한 스파이더맨이 나와서 각자의 매력을 뽐내는데 개개인 모두가 매력적이었다.\n한 명의 영웅과 한 명의 악당이 싸우는 구도가 아니라 여러 명의 영웅들이 한 명의 악당과 싸우는 구도가 진짜 신선했다.\n다른 차원에서 왔다는 걸 표현하는 또 다른 그림체 또한 상당히 좋았다.\n최근에 봤던 <러빙 빈센트> 그 이상의 영화인 거 같다.\n \n2018.12.10 18:00~20:07
658a832526947c056326504e,이진구,4.5,"마블에 스파이더맨을 다시 넘겨줄 것처럼 그러더니만, 뒤에서 대형사고 칠 준비 중이었던 소니\n==========================\n쿠키 영상 & 추모 메시지 하나씩 있음"
658a832526947c056326504f,신혜미,4.5,영화에 더 빠졌다간 Sunflower 틀어놓고 우리집 옥상에서 상가 옥상으로 점프 시도할 거 같다...
658a832526947c0563265050,이용우,4.5,"실사 마블 스튜디오와의 전면전 대신에, 노선을 틀어 가장 마블스러운 연출과 영상을 보여준다. 끝내주는 음악은 덤."
